Termino,Aparicion,Documento,HASH
figuran,1,['la_biblioteca_de_babel.txt'],0
triangular,1,['la_biblioteca_de_babel.txt'],1
preparo,1,['la_biblioteca_de_babel.txt'],1
cómo,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",2
pensador,1,['la_biblioteca_de_babel.txt'],2
pérfida,1,['la_biblioteca_de_babel.txt'],3
verídica,1,['la_biblioteca_de_babel.txt'],5
sido,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",5
creo,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",5
ejemplo,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",6
ultrajado,1,['la_biblioteca_de_babel.txt'],6
pretenden,1,['la_biblioteca_de_babel.txt'],7
herética,1,['la_biblioteca_de_babel.txt'],7
acabo,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",10
túnele,1,['la_biblioteca_de_babel.txt'],10
aclaración,1,['la_biblioteca_de_babel.txt'],11
mejor,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",15
difieren,1,['la_biblioteca_de_babel.txt'],16
impío,1,['la_biblioteca_de_babel.txt'],18
condenaban,1,['la_biblioteca_de_babel.txt'],19
sitio,1,['la_biblioteca_de_babel.txt'],20
libr,1,['la_biblioteca_de_babel.txt'],21
aplicación,1,['la_biblioteca_de_babel.txt'],21
limitado,1,['la_biblioteca_de_babel.txt'],21
perfectament,1,['la_biblioteca_de_babel.txt'],22
morir,1,['la_biblioteca_de_babel.txt'],23
ilustrada,1,['la_biblioteca_de_babel.txt'],25
noventa,1,['la_biblioteca_de_babel.txt'],25
engañen,1,['la_biblioteca_de_babel.txt'],27
influir,1,['la_biblioteca_de_babel.txt'],27
aventura,1,['la_biblioteca_de_babel.txt'],28
emiten,1,['la_biblioteca_de_babel.txt'],28
viajero,1,['la_biblioteca_de_babel.txt'],28
sólo,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",29
cerril,1,['la_biblioteca_de_babel.txt'],29
dijo,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",30
pie,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",30
sistema,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",30
lituano,1,['la_biblioteca_de_babel.txt'],30
niegan,1,['la_biblioteca_de_babel.txt'],30
diezmado,1,['la_biblioteca_de_babel.txt'],33
iluminada,1,['la_biblioteca_de_babel.txt'],34
arcano,1,['la_biblioteca_de_babel.txt'],34
expresar,1,['la_biblioteca_de_babel.txt'],36
solución,1,['la_biblioteca_de_babel.txt'],36
felicidad,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",37
veremo,1,['la_biblioteca_de_babel.txt'],38
enigmático,1,['la_biblioteca_de_babel.txt'],38
precioso,1,['la_biblioteca_de_babel.txt'],40
corresponden,1,['la_biblioteca_de_babel.txt'],40
faltarán,1,['la_biblioteca_de_babel.txt'],41
humanidad,1,['la_biblioteca_de_babel.txt'],41
ochenta,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",42
frenesí,1,['la_biblioteca_de_babel.txt'],42
acto,1,['la_biblioteca_de_babel.txt'],43
relación,1,['la_biblioteca_de_babel.txt'],43
hexagonal,1,['la_biblioteca_de_babel.txt'],43
piadosa,1,['la_biblioteca_de_babel.txt'],43
correspond,1,['la_biblioteca_de_babel.txt'],43
repetición,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",44
digo,1,['la_biblioteca_de_babel.txt'],45
exist,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",47
recorrido,1,['la_biblioteca_de_babel.txt'],47
mile,1,['la_biblioteca_de_babel.txt'],47
final,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",48
examinado,1,['la_biblioteca_de_babel.txt'],48
corren,1,['la_biblioteca_de_babel.txt'],49
idioma,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",49
persona,1,['la_biblioteca_de_babel.txt'],50
imperfecto,1,['la_biblioteca_de_babel.txt'],50
delicada,1,['la_biblioteca_de_babel.txt'],51
verdadero,1,['la_biblioteca_de_babel.txt'],52
quiniento,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",52
fastidio,1,['la_biblioteca_de_babel.txt'],53
anaquel,1,['la_biblioteca_de_babel.txt'],53
demostración,1,['la_biblioteca_de_babel.txt'],54
uniform,1,['la_biblioteca_de_babel.txt'],54
perdur,1,['la_biblioteca_de_babel.txt'],54
encerraba,1,['la_biblioteca_de_babel.txt'],55
titula,1,['la_biblioteca_de_babel.txt'],55
infinita,1,['la_biblioteca_de_babel.txt'],56
aunqu,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",56
denuncian,1,['la_biblioteca_de_babel.txt'],57
buscarlo,1,['la_biblioteca_de_babel.txt'],57
verosímil,1,['la_biblioteca_de_babel.txt'],58
caída,1,['la_biblioteca_de_babel.txt'],58
opinión,1,['la_biblioteca_de_babel.txt'],58
explicars,1,['la_biblioteca_de_babel.txt'],59
asaz,1,['la_biblioteca_de_babel.txt'],59
escribir,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",59
confirmado,1,['la_biblioteca_de_babel.txt'],60
consecuencia,1,['la_biblioteca_de_babel.txt'],60
posición,1,['la_biblioteca_de_babel.txt'],60
superior,1,['la_biblioteca_de_babel.txt'],61
imaginan,1,['la_biblioteca_de_babel.txt'],62
éxtasi,1,['la_biblioteca_de_babel.txt'],62
prosternan,1,['la_biblioteca_de_babel.txt'],62
así,1,['la_biblioteca_de_babel.txt'],63
atravesara,1,['la_biblioteca_de_babel.txt'],64
pensaron,1,['la_biblioteca_de_babel.txt'],66
peinado,1,['la_biblioteca_de_babel.txt'],66
descifrar,1,['la_biblioteca_de_babel.txt'],67
elocuent,1,['la_biblioteca_de_babel.txt'],67
ascético,1,['la_biblioteca_de_babel.txt'],67
orden,1,['la_biblioteca_de_babel.txt'],68
percibir,1,['la_biblioteca_de_babel.txt'],68
axaxaxa,1,['la_biblioteca_de_babel.txt'],68
libro,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",68
ambulant,1,['la_biblioteca_de_babel.txt'],68
persisten,1,['la_biblioteca_de_babel.txt'],69
enorm,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",69
jóvene,1,['la_biblioteca_de_babel.txt'],69
capit,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",69
cercado,1,['la_biblioteca_de_babel.txt'],69
cuyo,1,['la_biblioteca_de_babel.txt'],70
interminablement,1,['la_biblioteca_de_babel.txt'],72
vejez,1,['la_biblioteca_de_babel.txt'],72
sabemo,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",75
mlo,1,['la_biblioteca_de_babel.txt'],76
mundo,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",77
filósofo,1,['la_biblioteca_de_babel.txt'],77
poca,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",77
infatig,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",78
barajaran,1,['la_biblioteca_de_babel.txt'],78
llaman,1,['la_biblioteca_de_babel.txt'],79
autobiografía,1,['la_biblioteca_de_babel.txt'],79
espir,1,['la_biblioteca_de_babel.txt'],79
horror,1,['la_biblioteca_de_babel.txt'],80
punto,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",80
fatigaron,1,['la_biblioteca_de_babel.txt'],81
interpolacion,1,['la_biblioteca_de_babel.txt'],81
peregrino,1,['la_biblioteca_de_babel.txt'],81
cualquier,1,['la_biblioteca_de_babel.txt'],81
mostró,1,['la_biblioteca_de_babel.txt'],82
region,1,['la_biblioteca_de_babel.txt'],82
consultado,1,['la_biblioteca_de_babel.txt'],84
prohibido,1,['la_biblioteca_de_babel.txt'],84
depresión,1,['la_biblioteca_de_babel.txt'],85
toda,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",86
clásico,1,['la_biblioteca_de_babel.txt'],86
desorden,1,['la_biblioteca_de_babel.txt'],86
superstición,1,['la_biblioteca_de_babel.txt'],86
porvenir,1,['la_biblioteca_de_babel.txt'],87
dictamen,1,['la_biblioteca_de_babel.txt'],87
fruta,1,['la_biblioteca_de_babel.txt'],88
misterio,1,['la_biblioteca_de_babel.txt'],88
algún,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",88
veint,1,['la_biblioteca_de_babel.txt'],88
tesi,1,['la_biblioteca_de_babel.txt'],89
nocion,1,['la_biblioteca_de_babel.txt'],90
entero,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",91
mencionado,1,['la_biblioteca_de_babel.txt'],91
gran,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",92
cometida,1,['la_biblioteca_de_babel.txt'],92
catálogo,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",94
bruñida,1,['la_biblioteca_de_babel.txt'],94
inútil,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",94
inform,1,['la_biblioteca_de_babel.txt'],95
idéntica,1,['la_biblioteca_de_babel.txt'],95
descubrir,1,['la_biblioteca_de_babel.txt'],95
método,1,['la_biblioteca_de_babel.txt'],96
reducción,1,['la_biblioteca_de_babel.txt'],98
calambr,1,['la_biblioteca_de_babel.txt'],98
b,1,['la_biblioteca_de_babel.txt'],98
satisfactoriament,1,['la_biblioteca_de_babel.txt'],99
cacofonía,1,['la_biblioteca_de_babel.txt'],99
cuarenta,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",99
inevitablement,1,['la_biblioteca_de_babel.txt'],99
c,1,['la_biblioteca_de_babel.txt'],99
temor,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",99
visiblement,1,['la_biblioteca_de_babel.txt'],102
diverso,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",102
hacia,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",102
laberinto,1,['la_biblioteca_de_babel.txt'],102
indiqu,1,['la_biblioteca_de_babel.txt'],104
coherencia,1,['la_biblioteca_de_babel.txt'],105
pan,1,['la_biblioteca_de_babel.txt'],105
proced,1,['la_biblioteca_de_babel.txt'],105
centenar,1,['la_biblioteca_de_babel.txt'],106
encuentr,1,['la_biblioteca_de_babel.txt'],106
pared,1,['la_biblioteca_de_babel.txt'],106
pudo,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",106
prodigioso,1,['la_biblioteca_de_babel.txt'],107
rudo,1,['la_biblioteca_de_babel.txt'],108
volúmen,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",109
vindicacion,1,['la_biblioteca_de_babel.txt'],109
tan,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",109
despeñado,1,['la_biblioteca_de_babel.txt'],110
terribl,1,['la_biblioteca_de_babel.txt'],110
hombr,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",110
n,1,['la_biblioteca_de_babel.txt'],110
ley,1,['la_biblioteca_de_babel.txt'],110
proferían,1,['la_biblioteca_de_babel.txt'],110
inconceb,1,['la_biblioteca_de_babel.txt'],111
sugirió,1,['la_biblioteca_de_babel.txt'],112
exista,1,['la_biblioteca_de_babel.txt'],112
hoja,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",114
realment,1,['la_biblioteca_de_babel.txt'],114
demá,1,['la_biblioteca_de_babel.txt'],115
palabra,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",115
funcionario,1,['la_biblioteca_de_babel.txt'],115
omnipotent,1,['la_biblioteca_de_babel.txt'],115
sentado,1,['la_biblioteca_de_babel.txt'],116
metódica,1,['la_biblioteca_de_babel.txt'],116
nombr,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",116
prometen,1,['la_biblioteca_de_babel.txt'],118
ilógico,1,['la_biblioteca_de_babel.txt'],118
incoherencia,1,['la_biblioteca_de_babel.txt'],118
treinta,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",119
ningún,1,['la_biblioteca_de_babel.txt'],120
verdad,1,['la_biblioteca_de_babel.txt'],120
elemento,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",121
sueño,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",121
intuición,1,['la_biblioteca_de_babel.txt'],122
nací,1,['la_biblioteca_de_babel.txt'],123
infierno,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",124
minuciosa,1,['la_biblioteca_de_babel.txt'],124
trágica,1,['la_biblioteca_de_babel.txt'],125
ment,1,['la_biblioteca_de_babel.txt'],126
sílaba,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",126
aquel,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",128
exhibían,1,['la_biblioteca_de_babel.txt'],128
figura,1,['la_biblioteca_de_babel.txt'],128
dispar,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",129
justificado,1,['la_biblioteca_de_babel.txt'],129
correspondían,1,['la_biblioteca_de_babel.txt'],129
articular,1,['la_biblioteca_de_babel.txt'],131
sé,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",132
gnóstico,1,['la_biblioteca_de_babel.txt'],132
criptográfica,1,['la_biblioteca_de_babel.txt'],132
largo,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",133
cercano,1,['la_biblioteca_de_babel.txt'],133
do,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",133
justificación,1,['la_biblioteca_de_babel.txt'],133
encontrar,1,['la_biblioteca_de_babel.txt'],134
buscador,1,['la_biblioteca_de_babel.txt'],135
furor,1,['la_biblioteca_de_babel.txt'],136
aceptada,1,['la_biblioteca_de_babel.txt'],137
ubicuo,1,['la_biblioteca_de_babel.txt'],137
creyeron,1,['la_biblioteca_de_babel.txt'],137
juventud,1,['la_biblioteca_de_babel.txt'],137
gener,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",137
llena,1,['la_biblioteca_de_babel.txt'],138
multiform,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",139
correcta,1,['la_biblioteca_de_babel.txt'],139
hospedaba,1,['la_biblioteca_de_babel.txt'],139
desesperada,1,['la_biblioteca_de_babel.txt'],139
caracter,1,['la_biblioteca_de_babel.txt'],141
epístola,1,['la_biblioteca_de_babel.txt'],141
saben,1,['la_biblioteca_de_babel.txt'],141
volumen,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",142
angosto,1,['la_biblioteca_de_babel.txt'],143
disolverá,1,['la_biblioteca_de_babel.txt'],143
conquistar,1,['la_biblioteca_de_babel.txt'],143
nadi,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",144
incomprens,1,['la_biblioteca_de_babel.txt'],144
promulgar,1,['la_biblioteca_de_babel.txt'],145
infinitesim,1,['la_biblioteca_de_babel.txt'],145
galería,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",147
muert,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",147
circular,1,['la_biblioteca_de_babel.txt'],147
elegant,1,['la_biblioteca_de_babel.txt'],148
garabatea,1,['la_biblioteca_de_babel.txt'],148
revela,1,['la_biblioteca_de_babel.txt'],149
enloquecieron,1,['la_biblioteca_de_babel.txt'],149
viento,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",149
noticia,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",149
tener,1,['la_biblioteca_de_babel.txt'],150
invari,1,['la_biblioteca_de_babel.txt'],151
inalter,1,['la_biblioteca_de_babel.txt'],151
aniquilado,1,['la_biblioteca_de_babel.txt'],151
ruego,1,['la_biblioteca_de_babel.txt'],152
abandonaron,1,['la_biblioteca_de_babel.txt'],153
peldaño,1,['la_biblioteca_de_babel.txt'],154
hablamo,1,['la_biblioteca_de_babel.txt'],154
llegan,1,['la_biblioteca_de_babel.txt'],155
obligada,1,['la_biblioteca_de_babel.txt'],157
combinacion,1,['la_biblioteca_de_babel.txt'],158
comput,1,['la_biblioteca_de_babel.txt'],158
superfici,1,['la_biblioteca_de_babel.txt'],160
urgía,1,['la_biblioteca_de_babel.txt'],162
espacio,1,['la_biblioteca_de_babel.txt'],162
ojo,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",162
subsiguient,1,['la_biblioteca_de_babel.txt'],162
primero,2,"['evangelio_segun_marcos.txt', 'la_biblioteca_de_babel.txt']",162
vieron,1,['la_biblioteca_de_babel.txt'],163
hojeaban,1,['la_biblioteca_de_babel.txt'],164
excepción,1,['la_biblioteca_de_babel.txt'],164
color,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",165
lanzaron,1,['la_biblioteca_de_babel.txt'],165
ex,1,['la_biblioteca_de_babel.txt'],165
peregrinacion,1,['la_biblioteca_de_babel.txt'],166
mano,2,"['funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",167
oficial,1,['la_biblioteca_de_babel.txt'],167
ilustrado,1,['la_biblioteca_de_babel.txt'],167
imaginaria,1,['la_biblioteca_de_babel.txt'],168
función,1,['la_biblioteca_de_babel.txt'],170
veintidó,1,['la_biblioteca_de_babel.txt'],170
hecho,3,"['evangelio_segun_marcos.txt', 'funes_el_memorioso.txt', 'la_biblioteca_de_babel.txt']",171
desaforada,1,['la_biblioteca_de_babel.txt'],172
